Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates (Headcount)
2012/13,City University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,2
2012/13,City University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,21
2012/13,City University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2012/13,City University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,146
2012/13,City University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2012/13,City University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,4
2012/13,City University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,92
2012/13,City University of Hong Kong,Undergraduate,FT employment,Artists,70
2012/13,City University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",72
2012/13,City University of Hong Kong,Undergraduate,FT employment,Business Professionals,756
2012/13,City University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,122
2012/13,City University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",15
2012/13,City University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,19
2012/13,City University of Hong Kong,Undergraduate,FT employment,Engineers,176
2012/13,City University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),4
2012/13,City University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",21
2012/13,City University of Hong Kong,Undergraduate,FT employment,Legal Workers,4
2012/13,City University of Hong Kong,Undergraduate,FT employment,Managers,18
2012/13,City University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,9
2012/13,City University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,80
2012/13,City University of Hong Kong,Undergraduate,FT employment,Other Service Workers,18
2012/13,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,13
2012/13,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,10
2012/13,City University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,6
2012/13,City University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,24
2012/13,City University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,38
2012/13,City University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,194
2012/13,City University of Hong Kong,Undergraduate,FT employment,Teaching Profession,111
2012/13,City University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,201
2012/13,City University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,70
2012/13,City University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,92
2012/13,City University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,27
2012/13,Hong Kong Baptist University,Research postgraduate,FT employment,Business Professionals,2
2012/13,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Science Technicians,5
2012/13,Hong Kong Baptist University,Research postgraduate,FT employment,Protective Service Workers,1
2012/13,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,12
2012/13,Hong Kong Baptist University,Research postgraduate,FT employment,Workers not reporting any occupation,4
2012/13,Hong Kong Baptist University,Research postgraduate,Further studies,Not in Full-time Employment,1
2012/13,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,26
2012/13,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,2
2012/13,Hong Kong Baptist University,Taught postgraduate,FT employment,Business Professionals,1
2012/13,Hong Kong Baptist University,Taught postgraduate,FT employment,Government Officials (General Grades),1
2012/13,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,6
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,53
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Artists,35
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",98
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,387
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,3
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",7
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,5
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,16
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Government Administrators and Diplomats,2
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),11
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",15
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Legal Workers,3
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Managers,10
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Medical and Health Workers,23
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Occupations not elsewhere classified,6
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Other Professionals and Technical Workers,73
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Other Service Workers,8
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Science Technicians,17
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Scientists,3
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Protective Service Workers,8
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Religious Workers,1
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Sales/Service Workers,36
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,System Analysts and Computer Programmers,62
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Teaching Profession,163
2012/13,Hong Kong Baptist University,Undergraduate,FT employment,Workers not reporting any occupation,74
2012/13,Hong Kong Baptist University,Undergraduate,Further studies,Not in Full-time Employment,121
2012/13,Hong Kong Baptist University,Undergraduate,Others,Not in Full-time Employment,90
2012/13,Hong Kong Baptist University,Undergraduate,Underemployed,Not in Full-time Employment,72
2012/13,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,14
2012/13,Lingnan University,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2012/13,Lingnan University,Research postgraduate,FT employment,Teaching Profession,7
2012/13,Lingnan University,Research postgraduate,Further studies,Not in Full-time Employment,6
2012/13,Lingnan University,Research postgraduate,Others,Not in Full-time Employment,1
2012/13,Lingnan University,Research postgraduate,Underemployed,Not in Full-time Employment,3
2012/13,Lingnan University,Undergraduate,FT employment,Accountants and Auditors,53
2012/13,Lingnan University,Undergraduate,FT employment,Artists,2
2012/13,Lingnan University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",32
2012/13,Lingnan University,Undergraduate,FT employment,Business Professionals,298
2012/13,Lingnan University,Undergraduate,FT employment,Clerical and Related Workers,14
2012/13,Lingnan University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",4
2012/13,Lingnan University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",12
2012/13,Lingnan University,Undergraduate,FT employment,Managers,33
2012/13,Lingnan University,Undergraduate,FT employment,Other Professionals and Technical Workers,10
2012/13,Lingnan University,Undergraduate,FT employment,Other Service Workers,8
2012/13,Lingnan University,Undergraduate,FT employment,Protective Service Workers,7
2012/13,Lingnan University,Undergraduate,FT employment,Sales/Service Workers,21
2012/13,Lingnan University,Undergraduate,FT employment,Teaching Profession,104
2012/13,Lingnan University,Undergraduate,FT employment,Workers not reporting any occupation,4
2012/13,Lingnan University,Undergraduate,Further studies,Not in Full-time Employment,61
2012/13,Lingnan University,Undergraduate,Others,Not in Full-time Employment,24
2012/13,Lingnan University,Undergraduate,Underemployed,Not in Full-time Employment,26
2012/13,Lingnan University,Undergraduate,Unemployed,Not in Full-time Employment,9
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Accountants and Auditors,3
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Artists,1
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Business Professionals,21
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",5
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineers,7
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,"Insurance, Real Estate, and Business Services",1
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,2
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Occupations not elsewhere classified,2
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,3
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,3
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,1
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Protective Service Workers,3
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,8
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,114
2012/13,The Chinese University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,2
2012/13,The Chinese University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,44
2012/13,The Chinese University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,52
2012/13,The Chinese University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,8
2012/13,The Chinese University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,7
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Accountants and Auditors,1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,31
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Artists,2
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,"Authors, Journalists and Related Writers",4
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,4
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Engineering Technicians,1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,"Insurance, Real Estate, and Business Services",1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,23
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Managers,1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,9
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Sales/Service Workers,1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,System Analysts and Computer Programmers,1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,150
2012/13,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2012/13,The Chinese University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,1
2012/13,The Chinese University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,6
2012/13,The Chinese University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,3
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,147
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,46
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Artists,11
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",102
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Business Professionals,569
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,51
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",67
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,6
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineers,123
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),31
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",44
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Legal Workers,7
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Managers,26
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,373
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,2
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,49
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Service Workers,9
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,41
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,10
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,1
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,30
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Religious Workers,3
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,15
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,151
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Teaching Profession,235
2012/13,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,12
2012/13,The Chinese University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,427
2012/13,The Chinese University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,39
2012/13,The Chinese University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,36
2012/13,The Chinese University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,67
2012/13,The Education University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,3
2012/13,The Education University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,1
2012/13,The Education University of Hong Kong,Sub-degree,FT employment,Medical and Health Workers,1
2012/13,The Education University of Hong Kong,Sub-degree,FT employment,Other Professionals and Technical Workers,1
2012/13,The Education University of Hong Kong,Sub-degree,FT employment,Protective Service Workers,1
2012/13,The Education University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,1
2012/13,The Education University of Hong Kong,Sub-degree,FT employment,Teaching Profession,151
2012/13,The Education University of Hong Kong,Sub-degree,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2012/13,The Education University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,4
2012/13,The Education University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,2
2012/13,The Education University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,8
2012/13,The Education University of Hong Kong,Taught postgraduate,FT employment,Artists,1
2012/13,The Education University of Hong Kong,Taught postgraduate,FT employment,"Authors, Journalists and Related Writers",2
2012/13,The Education University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,4
2012/13,The Education University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2012/13,The Education University of Hong Kong,Taught postgraduate,FT employment,Other Service Workers,1
2012/13,The Education University of Hong Kong,Taught postgraduate,FT employment,Protective Service Workers,1
2012/13,The Education University of Hong Kong,Taught postgraduate,FT employment,Sales/Service Workers,1
2012/13,The Education University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,106
2012/13,The Education University of Hong Kong,Taught postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2012/13,The Education University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2012/13,The Education University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,8
2012/13,The Education University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,3
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Artists,2
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",9
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Business Professionals,45
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,6
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",3
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Managers,1
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,1
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,1
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,6
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,2
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,9
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Teaching Profession,428
2012/13,The Education University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,22
2012/13,The Education University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,45
2012/13,The Education University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,11
2012/13,The Education University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,32
2012/13,The Education University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,5
2012/13,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Business Professionals,3
2012/13,The Hong Kong Polytechnic University,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",36
2012/13,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Engineers,10
2012/13,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Managers,3
2012/13,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Medical and Health Workers,1
2012/13,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2012/13,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Production and Related Workers,1
2012/13,The Hong Kong Polytechnic University,Research postgraduate,FT employment,System Analysts and Computer Programmers,4
2012/13,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Teaching Profession,18
2012/13,The Hong Kong Polytechnic University,Research postgraduate,Further studies,Not in Full-time Employment,5
2012/13,The Hong Kong Polytechnic University,Research postgraduate,Others,Not in Full-time Employment,7
2012/13,The Hong Kong Polytechnic University,Research postgraduate,Underemployed,Not in Full-time Employment,1
2012/13,The Hong Kong Polytechnic University,Research postgraduate,Unemployed,Not in Full-time Employment,2
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Aircraft and Ship Officers,1
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Architects and Surveyors,58
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Artists,25
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,"Authors, Journalists and Related Writers",2
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Business Professionals,43
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Clerical and Related Workers,3
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineering Technicians,16
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineers,63
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,"Insurance, Real Estate, and Business Services",1
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Managers,1
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Medical and Health Workers,83
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Professionals and Technical Workers,13
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Service Workers,12
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Physical and Life Science Technicians,4
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Protective Service Workers,2
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Sales/Service Workers,13
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,System Analysts and Computer Programmers,2
2012/13,The Hong Kong Polytechnic University,Sub-degree,FT employment,Teaching Profession,3
2012/13,The Hong Kong Polytechnic University,Sub-degree,Further studies,Not in Full-time Employment,789
2012/13,The Hong Kong Polytechnic University,Sub-degree,Others,Not in Full-time Employment,10
2012/13,The Hong Kong Polytechnic University,Sub-degree,Underemployed,Not in Full-time Employment,44
2012/13,The Hong Kong Polytechnic University,Sub-degree,Unemployed,Not in Full-time Employment,11
2012/13,The Hong Kong Polytechnic University,Taught postgraduate,FT employment,Other Professionals and Technical Workers,9
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Accountants and Auditors,148
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Aircraft and Ship Officers,5
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Architects and Surveyors,129
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Artists,153
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",31
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Business Professionals,647
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Clerical and Related Workers,6
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",52
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineering Technicians,11
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineers,417
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Government Officials (General Grades),2
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",37
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Managers,6
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Medical and Health Workers,426
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Professionals and Technical Workers,88
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Service Workers,61
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Science Technicians,48
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Scientists,5
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Production and Related Workers,5
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Protective Service Workers,14
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Sales/Service Workers,53
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,System Analysts and Computer Programmers,122
2012/13,The Hong Kong Polytechnic University,Undergraduate,FT employment,Teaching Profession,56
2012/13,The Hong Kong Polytechnic University,Undergraduate,Further studies,Not in Full-time Employment,151
2012/13,The Hong Kong Polytechnic University,Undergraduate,Others,Not in Full-time Employment,55
2012/13,The Hong Kong Polytechnic University,Undergraduate,Underemployed,Not in Full-time Employment,98
2012/13,The Hong Kong Polytechnic University,Undergraduate,Unemployed,Not in Full-time Employment,63
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Business Professionals,7
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",2
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineering Technicians,1
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineers,19
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,"Insurance, Real Estate, and Business Services",1
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Medical and Health Workers,2
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Science Technicians,4
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Scientists,5
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Protective Service Workers,1
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,System Analysts and Computer Programmers,4
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Teaching Profession,89
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers not reporting any occupation,3
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,Further studies,Not in Full-time Employment,33
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,Others,Not in Full-time Employment,26
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,Underemployed,Not in Full-time Employment,7
2012/13,The Hong Kong University of Science and Technology,Research postgraduate,Unemployed,Not in Full-time Employment,10
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Accountants and Auditors,118
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Aircraft and Ship Officers,7
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Architects and Surveyors,5
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Artists,2
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,"Authors, Journalists and Related Writers",12
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Business Professionals,372
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Clerical and Related Workers,14
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",30
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineering Technicians,30
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineers,248
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Officials (General Grades),9
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",13
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Legal Workers,1
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Managers,11
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Medical and Health Workers,7
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Professionals and Technical Workers,3
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Service Workers,9
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Science Technicians,26
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Scientists,11
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Production and Related Workers,8
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Protective Service Workers,10
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Religious Workers,6
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Sales/Service Workers,15
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,System Analysts and Computer Programmers,154
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Teaching Profession,73
2012/13,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Workers not reporting any occupation,34
2012/13,The Hong Kong University of Science and Technology,Undergraduate,Further studies,Not in Full-time Employment,232
2012/13,The Hong Kong University of Science and Technology,Undergraduate,Others,Not in Full-time Employment,31
2012/13,The Hong Kong University of Science and Technology,Undergraduate,Underemployed,Not in Full-time Employment,22
2012/13,The Hong Kong University of Science and Technology,Undergraduate,Unemployed,Not in Full-time Employment,20
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Architects and Surveyors,3
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Business Professionals,22
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Clerical and Related Workers,3
2012/13,The University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",5
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,5
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Engineers,14
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Legal Workers,3
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Managers,8
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,13
